ISSN,e-ISSN,p-ISSN,SourceID,Acronym,JournalTitle,ASJCScopus,ASJCMarketing
2773-045X,2773-045X,,,ASEMS,Advanced Sensor and Energy Materials,,
1049-0078,1873-7927,1049-0078,22736,ASIECO,Journal of Asian Economics,2003;2002,
1015-9584,0219-3108,1015-9584,39736,ASJSUR,Asian Journal of Surgery,2746,
2214-6873,2214-6873,,21100787536,ASMART,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",2732;3612;2742,
2666-061X,2666-061X,,21101055006,ASMR,"Arthroscopy, Sports Medicine, and Rehabilitation",2732;3612;2742;2739,"2732
"
1568-4946,1872-9681,1568-4946,18136,ASOC,Applied Soft Computing,1712,
1226-8615,1876-7990,1226-8615,11700154717,ASPEN,Journal of Asia-Pacific Entomology,1109,
0927-6505,1873-2852,0927-6505,26764,ASTPHY,Astroparticle Physics,3103,
1387-6473,1872-9630,1387-6473,27732,ASTREV,New Astronomy Reviews,3103;1912,
1434-6087,,,23764,ASTZAH,Aesthetische Zahnmedizin,3500,
1075-2935,1873-5916,1075-2935,23429,ASW,Assessing Writing,1203;3304;3310,
1359-4311,1873-5606,1359-4311,13688,ATE,Applied Thermal Engineering,2102;2210;1507;2209,
2772-3755,2772-3755,,21101111783,ATECH,Smart Agricultural Technology,1701;1100;1702,1101;1702;1707;1710;1711
2212-0661,,,21100219314,ATG,Applied & Translational Genomics,1305;1312;3003,
0021-9150,1879-1484,0021-9150,22483,ATH,Atherosclerosis,2705,
2667-0895,2667-0895,2667-0909,21101051834,ATHPLU,Atherosclerosis Plus,2724;2705,"2705
"
2590-1354,,,21100923447,ATHX,Atherosclerosis: X,2705,
0187-6236,,,12079,ATM,Atmósfera,1902,
0169-8095,1873-2895,0169-8095,12092,ATMOS,Atmospheric Research,1902,
1364-6826,1879-1824,1364-6826,28436,ATP,Journal of Atmospheric and Solar-Terrestrial Physics,1908;1902;1912,
0160-7383,1873-7722,0160-7383,30718,ATR,Annals of Tourism Research,1403;3303;1409;1406,
0003-4975,1552-6259,0003-4975,20489,ATS,The Annals of Thoracic Surgery,2746;2740;2705,
2772-9931,2772-9931,,,ATSSR,Annals of Thoracic Surgery Short Reports,,"2746
"
1036-7314,1878-1721,1036-7314,27139,AUCC,Australian Critical Care,2907;2906,
2588-994X,2588-994X,2589-1375,21100862642,AUEC,Australasian Emergency Care,2907,
0210-2773,,,21100456858,AULA,Aula Abierta,3304,
0005-1098,1873-2836,0005-1098,24909,AUT,Automatica,2207;2208,
0926-5805,1872-7891,0926-5805,24931,AUTCON,Automation in Construction,2207;2205;2215,
1566-0702,1872-7484,1566-0702,14255,AUTNEU,Autonomic Neuroscience: Basic and Clinical,2807;2728;2804,
1568-9972,1873-0183,1568-9972,20689,AUTREV,Autoimmunity Reviews,2723;2403,
1359-1789,1873-6335,1359-1789,29451,AVB,Aggression and Violent Behavior,2734;3203;2738,
1134-3230,,,20000195087,AVDIAB,Avances en Diabetología,2724;2712,
0166-3542,1872-9096,0166-3542,19617,AVR,Antiviral Research,3004;2406,
2053-7166,2053-7166,,21100468931,AVRS,Avian Research,1105;1103,
0890-5096,1615-5947,0890-5096,20492,AVSG,Annals of Vascular Surgery,2746;2705,
2772-6878,2772-6878,,21101134739,AVSURG,Annals of Vascular Surgery - Brief Reports and Innovations,2746;2705,"2746
"
2950-2489,2950-2489,,,AZN,Animals and Zoonoses,,
1439-1791,1618-0089,1439-1791,22800,BAAE,Basic and Applied Ecology,1105,
0360-1323,1873-684X,0360-1323,26874,BAE,Building and Environment,2305;2205;3305;2215,
2210-5336,,,19800188004,BAGA,Basal Ganglia,2808;2728,
1470-8175,,,58622,BAMBED,Biochemistry and Molecular Biology Education,1303;1312,
2773-1391,2773-1391,,21101175795,BAMBOO,Advances in Bamboo Science,1107;2301,1108;1110;2311;1502;2305
0001-4079,2271-4820,0001-4079,26496,BANM,Bulletin de l'Académie Nationale de Médecine,2700,
2772-5294,2772-5294,,,BAS,Brain and Spine,,"2728
"
0005-2728,1879-2650,0005-2728,16791,BBABIO,BBA - Bioenergetics,1304;1303;1307,
0304-419X,1879-2561,0304-419X,80280,BBACAN,BBA - Reviews on Cancer,2730;1311;1306,
2214-6474,,,21100317907,BBACLI,BBA Clinical,2734;1313;2737,
0925-4439,1879-260X,0925-4439,21722,BBADIS,BBA - Molecular Basis of Disease,1313;1312,
2667-1603,2667-1603,,21101074914,BBADVA,BBA Advances,1304;1303,"1300
"
0304-4165,1872-8006,0304-4165,16829,BBAGEN,BBA - General Subjects,1304;1303;1312,
1874-9399,1876-4320,1874-9399,11200153524,BBAGRM,BBA - Gene Regulatory Mechanisms,1304;1315;1303;1312;1311,
1388-1981,1879-2618,1388-1981,16831,BBAMCB,BBA - Molecular and Cell Biology of Lipids,1312;1307,
0167-4889,1879-2596,0167-4889,18408,BBAMCR,BBA - Molecular Cell Research,1312;1307,
0005-2736,1879-2642,0005-2736,18406,BBAMEM,BBA - Biomembranes,1304;1303;1307,
1570-9639,1878-1454,1570-9639,16832,BBAPAP,BBA - Proteins and Proteomics,1602;1304;1303;1312,
0304-4157,,,91309,BBAREV,BBA - Reviews on Biomembranes,1304;1307,
0208-5216,2391-467X,0208-5216,19400158663,BBE,Biocybernetics and Biomedical Engineering,2204,
2666-3546,2666-3546,,21101094829,BBIH,"Brain, Behavior, & Immunity - Health",2727;2738,"2800
"
2949-8341,2949-8341,,,BBII,Brain Behavior and Immunity Integrative,,2400;2800
2666-5344,2666-5344,,21101118501,BBIOSY,Biomaterials and Biosystems,1305;2502;1303;2204,"2502
"
0166-4328,1872-7549,0166-4328,14285,BBR,Behavioural Brain Research,2802,
2405-5808,2405-5808,,21100398900,BBREP,Biochemistry and Biophysics Reports,1304;1303,
1357-2725,1878-5875,1357-2725,17542,BC,International Journal of Biochemistry and Cell Biology,1303;1307,
1878-8181,1878-8181,,21100197945,BCAB,Biocatalysis and Agricultural Biotechnology,1305;1502;1106;2402;1102,
2212-6198,2212-6198,,21100252806,BCDF,Bioactive Carbohydrates and Dietary Fibre,1106;1303;1605,
0006-2952,1873-2968,0006-2952,20063,BCP,Biochemical Pharmacology,1303;3004,
2096-7209,2666-9536,,21101101317,BCRA,Blockchain: Research and Applications,1710;1706;1705,"1702;1712;1706
"
2950-2217,2950-2217,,,BDCASR,Brain and Development Case Reports,,
2214-7535,,,21100369848,BDQ,Biomolecular Detection and Quantification,1315;1303;1313;1312,
2214-5796,2214-580X,2214-5796,21100356018,BDR,Big Data Research,1404;1710;1706;1802,
2667-0992,2667-0992,,,BEA,Biomedical Engineering Advances,,"2204;2210;2211;2502;1502
"
1369-703X,1873-295X,1369-703X,16849,BEJ,Biochemical Engineering Journal,1305;1502;2305;2204,
0376-6357,1872-8308,0376-6357,14288,BEPROC,Behavioural Processes,1103;2802,
0895-3988,2214-0190,0895-3988,28201,BES,Biomedical and Environmental Sciences,2739;2307,
0005-7894,1878-1888,0005-7894,12107,BETH,Behavior Therapy,3203,
1110-0931,,,,BFOPCU,"Bulletin of Faculty of Pharmacy, Cairo University",,
2214-0247,,,21100256959,BGM,Biomarkers and Genomic Medicine,2204;1300;3002,
2949-9291,2949-9291,,,BGTECH,Biogeotechnics,,
2212-683X,,,21100218522,BICA,Biologically Inspired Cognitive Architectures,3205;2805;1702,
0248-4900,,,18422,BICELL,Biology of the Cell,1307,
1756-2392,,,12000154528,BIHY,Bioscience Hypotheses,2701;1301;1101,
0303-2647,1872-8324,0303-2647,13794,BIO,BioSystems,2613;2611;1300;2604,
2772-9508,2772-9508,2772-9516,21101091765,BIOADV,Biomaterials Advances,1502;2502;2204,
2950-435X,2950-435X,,,BIOANA,Biomedical Analysis,,
0006-3207,1873-2917,0006-3207,17244,BIOC,Biological Conservation,1105;2309,
0301-4622,1873-4200,0301-4622,14858,BIOCHE,Biophysical Chemistry,1304;1303;1605,
0300-9084,1638-6183,0300-9084,16874,BIOCHI,Biochimie,1303,
2667-0410,2667-0410,,,BIOECO,EFB Bioeconomy Journal,,"1305;2402
"
2395-938X,,,,BIOET,BIOETHICS UPdate,,
2590-2075,2590-2075,,21101028601,BIOFLM,Biofilm,2404;2402;1312;1307,
1567-5394,1878-562X,1567-5394,16890,BIOJEC,Bioelectrochemistry,1304;1606;1603,
0141-8130,1879-0003,0141-8130,17544,BIOMAC,International Journal of Biological Macromolecules,1315;1303;1312,
2210-5220,,,19900192508,BIOMAG,Biomedicine & Aging Pathology,2734;1302;2717,
2452-199X,2452-199X,,21100854881,BIOMAT,Bioactive Materials,1305;2502;2204,
2211-8020,,,21100202159,BIOMED,BioMedicine,1300,
1672-6529,,,4700152244,BIONIC,Journal of Bionic Engineering,1305;1304;1502,
2666-1446,2666-1446,,21101072359,BIONPS,Biomarkers in Neuropsychiatry,2728;1308;2738;2704,"2738
"
2210-5239,,,20300195072,BIONUT,Biomedicine & Preventive Nutrition,1106,
2214-0085,,,21100420317,BIOPEN,Biochimie Open,1303,
0753-3322,1950-6007,0753-3322,28620,BIOPHA,Biomedicine & Pharmacotherapy,3004,
0301-0511,1873-6246,0301-0511,12145,BIOPSY,Biological Psychology,2800;3206,
2452-0721,,,,BIORI,Biotechnology Research and Innovation,,
0956-5663,1873-4235,0956-5663,15437,BIOS,Biosensors and Bioelectronics,1305;1304;2204;1603,
2590-1370,2590-1370,,21100923492,BIOSX,Biosensors and Bioelectronics: X,1305;1304;2204;1603,
0168-1656,1873-4863,0168-1656,16078,BIOTEC,Journal of Biotechnology,1305;1502;2402,
2665-9069,2665-9069,,21101162823,BIOTNO,Biotechnology Notes,1305;1502;2204,
2352-5738,2352-5738,,21100264506,BIOTRI,Biotribology,2502;2508,
2214-8450,2214-8469,2214-8450,21100437107,BIR,Borsa Istanbul Review,2003;2002,"2002;2003;2001;2000
"
2667-3797,2667-3797,,,BIROB,Biomimetic Intelligence and Robotics,,"1702;1712
"
0960-8524,1873-2976,0960-8524,15423,BITE,Bioresource Technology,1502;2305;2105;2311,
2589-014X,2589-014X,,21100933233,BITEB,Bioresource Technology Reports,1502;2305;2105;2311,
2319-4170,2320-2890,2319-4170,21100248812,BJ,Biomedical Journal,2700,
0007-0912,1471-6771,0007-0912,21858,BJA,British Journal of Anaesthesia,2703,
2058-5349,2058-5357,2058-5349,21100849723,BJAE,BJA Education,2703,
0034-7094,,,,BJAN,Brazilian Journal of Anesthesiology,2703,
0104-0014,2352-2291,0104-0014,21100385417,BJANE,Brazilian Journal of Anesthesiology (English edition),2700,
2255-4963,,,,BJANES,Brazilian Journal of Anesthesiology (Edicion en espanol),,
2772-6096,2772-6096,,,BJAO,BJA Open,,"2703
"
2314-8535,,,21101044928,BJBAS,Beni-Suef University Journal of Basic and Applied Sciences,2701;1101;3003,
1413-8670,1678-4391,1413-8670,21807,BJID,Brazilian Journal of Infectious Diseases,2726;2725,
1517-8382,,,130143,BJM,Brazilian Journal of Microbiology,2404,
1875-9742,,,12300154720,BJMSU,British Journal of Medical and Surgical Urology,2746;2748,
1470-0328,,,12549,BJOGYN,BJOG: An International Journal of Obstetrics and Gynaecology,2729,
1808-8694,1808-8686,1808-8694,4700152300,BJORL,Brazilian Journal of Otorhinolaryngology,2733,
2530-0539,2530-0547,2530-0539,,BJORLP,Brazilian Journal of Otorhinolaryngology (Versão em Português),,"2733
"
0102-695X,,,5400152628,BJP,Revista Brasileira de Farmacognosia,3000,
1413-3555,1809-9246,1413-3555,10800153305,BJPT,Brazilian Journal of Physical Therapy,3612;2732;2742,
0242-3960,2214-9368,0242-3960,4400151607,BLOC,Interbloc,2914,
0006-4971,1528-0020,0006-4971,25454,BLOOD,Blood,1303;2403;2720;1307,
2473-9529,2473-9537,,21100886825,BLOODA,Blood Advances,2720,"2720;2730;1307;1306
"
0021-9290,1873-2380,0021-9290,15846,BM,Journal of Biomechanics,1304;2204;2732;2742,
0968-0896,1464-3391,0968-0896,25786,BMC,Bioorganic & Medicinal Chemistry,1303;1313;1312;3003;3002;1308;1605,
0960-894X,1464-3405,0960-894X,25788,BMCL,Bioorganic & Medicinal Chemistry Letters,1303;1313;1312;3003;3002;1308;1605,
0041-8633,,,5800172268,BMDC,Boletín Mexicano de Derecho Comparado,3308,
2444-3409,,,,BMHIME,Boletín Médico del Hospital Infantil de México (English Edition),,
1665-1146,,,34848,BMHIMX,Boletín Médico del Hospital Infantil de México,2735,
2949-723X,2949-723X,,21101177662,BMT,Biomedical Technology,2701;2204,
2950-3280,2950-3280,,,BNEO,Blood Neoplasia,,
1740-1445,1873-6807,1740-1445,12159,BODYIM,Body Image,3207;3202;3200,
8756-3282,1873-2763,8756-3282,29551,BON,Bone,2712;1314;2722,
2352-1872,2352-1872,,21100386862,BONR,Bone Reports,2712;2732,
1297-319X,1778-7254,1297-319X,12186,BONSOI,Joint Bone Spine,2745,
2949-9216,2949-9216,,,BOSN,Brain Organoid and Systems Neuroscience Journal,,
0006-3495,1542-0086,0006-3495,14859,BPJ,Biophysical Journal,1304,
2667-0747,2667-0747,,21101094861,BPR,Biophysical Reports,1305;1304;1303;1301,
2405-8866,2405-8866,,21100791825,BPRINT,Bioprinting,1305;2204;1706,
0006-3223,1873-2402,0006-3223,14308,BPS,Biological Psychiatry,2803,
2451-9022,2451-9030,2451-9022,21100445639,BPSC,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2741;2805;2728;2803,
2667-1743,2667-1743,,21101132924,BPSGOS,Biological Psychiatry Global Open Science,2738,"2803;2738;2802
"
1538-4721,1873-1449,1538-4721,28752,BRACHY,Brachytherapy,2730;2741,
0387-7604,1872-7131,0387-7604,14320,BRADEV,Brain and Development,2735;2806;2728,
2666-5220,2666-5220,,21101082069,BRAIN,Brain Multiphysics,2800;2204,"2204;2611
"
2666-5794,,,,BRAINS,BrainScience,,"2800
"
0361-9230,1873-2747,0361-9230,14347,BRB,Brain Research Bulletin,2800,
0006-8993,1872-6240,0006-8993,14346,BRES,Brain Research,2800;1312;2728;1309,
0926-6410,,,14914,BRESC,Cognitive Brain Research,3205;2805;2802,
0165-3806,,,15034,BRESD,Developmental Brain Research,2806;1309,
0169-328X,,,17380,BRESM,Molecular Brain Research,1312;2804,
1385-299X,,,14350,BRESP,Brain Research Protocols,2800,
0165-0173,,,14351,BRESR,Brain Research Reviews,2800;2728,
2340-9436,,,21100373814,BRQ,BRQ Business Research Quarterly,1403;1400;2002;1408,
1935-861X,1876-4754,1935-861X,11700154204,BRS,Brain Stimulation,2800;1304;2728,
0005-7967,1873-622X,0005-7967,12127,BRT,Behaviour Research and Therapy,3205;3203;2738,
2405-4518,,,21100913570,BSBT,Biosurface and Biotribology,1304;2502;2204;2210;2508,
0305-1978,1873-2925,0305-1978,16857,BSE,Biochemical Systematics and Ecology,1105;1303,
0366-3175,2173-0431,0366-3175,4600151401,BSECV,Boletín de la Sociedad Española de Cerámica y Vidrio,2503;2211;2209,
2590-0536,2590-0536,,21101034440,BSHEAL,Biosafety and Health,1305;2739;2726;2725,
1746-8094,1746-8108,1746-8094,4700152237,BSPC,Biomedical Signal Processing and Control,1711;2204;2718,
2590-1559,,,21100898538,BTECX,Journal of Biotechnology: X,1305;1502;2402,
0005-7916,1873-7943,0005-7916,16249,BTEP,Journal of Behavior Therapy and Experimental Psychiatry,3205;3203;1201;2738,
2215-017X,2215-017X,,21100324971,BTRE,Biotechnology Reports,1305;2402,
0007-4551,1769-6917,0007-4551,28771,BULCAN,Bulletin du Cancer,2720;2730;2741;1306,
0007-4497,1952-4773,0007-4497,25286,BULSCI,Bulletin des sciences mathématiques,2600,
2213-0586,,,21100437623,BURN,Burnout Research,2739;2738,
2468-9122,2468-9122,,21101101204,BURNS,Burns Open,2746;2711;2708;2706,"2746
"
0007-6813,1873-6068,0007-6813,20209,BUSHOR,Business Horizons,1403;1406,
2950-3272,2950-3272,,,BVTH,"Blood Vessels, Thrombosis & Hemostasis",,
0275-1062,1879-128X,0275-1062,27149,CAA,Chinese Astronomy and Astrophysics,3103;1912,
0098-1354,1873-4375,0098-1354,24600,CACE,Computers and Chemical Engineering,1500;1706,
2590-2520,2590-2520,,21101039477,CACINT,City and Environment Interactions,3305;2301;3322;2308,
0011-8524,,,24457,CADMOS,Dental Cadmos,3505;3504,
0360-1315,1873-782X,0360-1315,17645,CAE,Computers & Education,1700;3304,
2666-920X,2666-920X,,21101074919,CAEAI,Computers and Education: Artificial Intelligence,3304;1706;1702,"3304
"
0045-7906,1879-0755,0045-7906,18159,CAEE,Computers and Electrical Engineering,2207;1700;2208,
2666-5573,2666-5573,,,CAEO,Computers and Education Open,,"3304
"
0045-7930,1879-0747,0045-7930,18160,CAF,Computers and Fluids,1700;2200,
0097-8493,1873-7684,0097-8493,25028,CAG,Computers & Graphics,1712;1711;2200;1709;1707;1704,
0098-3004,1873-7803,0098-3004,110327,CAGEO,Computers and Geosciences,1710;1903,
0007-9820,2468-5232,0007-9820,,CAHPU,Cahiers de la puéricultrice,,"2900
"
0360-8352,1879-0550,0360-8352,18164,CAIE,Computers & Industrial Engineering,1700;2200,
1529-1049,,,20718,CAIR,Clinical and Applied Immunology Reviews,2404;2723;2403;2725,
0364-5916,1873-2984,0364-5916,24593,CALPHA,Calphad,1600;1500;1706,
0377-0427,1879-1778,0377-0427,23847,CAM,Journal of Computational and Applied Mathematics,2605;2604,
0894-9166,,,13836,CAMSS,Acta Mechanica Solida Sinica,2206;2211;2210,
0898-1221,1873-7668,0898-1221,28468,CAMWA,Computers and Mathematics with Applications,2611;2605;1703,
0304-3835,1872-7980,0304-3835,29160,CAN,Cancer Letters,2730;1306,
1877-7821,1877-783X,1877-7821,17700155032,CANEP,Cancer Epidemiology,2713;2730;1306,
1278-3218,1769-6658,1278-3218,29181,CANRAD,Cancer / Radiothérapie,2730;2741,
0305-0548,1873-765X,0305-0548,24355,CAOR,Computers and Operations Research,1700;2611;1803,
1567-1739,1878-1675,1567-1739,27477,CAP,Current Applied Physics,2500;3100,
0008-6215,1873-426X,0008-6215,25803,CAR,Carbohydrate Research,1602;1303;1605,
1526-4114,2377-066X,1526-4114,,CARAGE,Caring For The Ages,,"2700
"
0008-6223,1873-3891,0008-6223,25806,CARBON,Carbon,1600;2500,
0846-5371,,,16593,CARJ,Canadian Association of Radiologists Journal,2741,
0144-8617,1879-1344,0144-8617,25801,CARP,Carbohydrate Polymers,2507;1605;2505,
2666-8939,2666-8939,,21101082065,CARPTA,Carbohydrate Polymer Technologies and Applications,1305;1602;1601;1303;2507;2505,"1106;1303
"
0008-6363,,,22570,CARRES,Cardiovascular Research,1314;2705;2737,
1553-8389,1878-0938,1553-8389,145617,CARREV,Cardiovascular Revascularization Medicine,2705,
2667-0569,2667-0569,,21101063731,CARTRE,Carbon Trends,1601;2501;2505,"2504;2505
"
0045-7949,1879-2243,0045-7949,18171,CAS,Computers and Structures,2205;2611;2500;2210;1706,
2468-6441,2468-6441,,,CASE,CASE,,"2705
"
1566-7367,1873-3905,1566-7367,22746,CATCOM,Catalysis Communications,1503;1600;1508,
0341-8162,1872-6887,0341-8162,25155,CATENA,Catena,1904,
0920-5861,1873-4308,0920-5861,16377,CATTOD,Catalysis Today,1503;1600,
1095-6433,1531-4332,1095-6433,3500148021,CBA,"Comparative Biochemistry and Physiology, Part A",1303;1314;1104;1103;1312,
1476-9271,1476-928X,1476-9271,24599,CBAC,Computational Biology and Chemistry,1315;1303;1605;2605,
1096-4959,1879-1107,1096-4959,17373,CBB,"Comparative Biochemistry and Physiology, Part B",1303;1314;1104;1103;1312,
1532-0456,1878-1659,1532-0456,9000153111,CBC,"Comparative Biochemistry and Physiology, Part C",1303;1314;1104;1103;3005;1307;2307,
1744-117X,1878-0407,1744-117X,3900148224,CBD,Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,1303;1314;1104;1103;1312;1311,
0009-2797,1872-7786,0009-2797,24652,CBI,Chemico-Biological Interactions,3005,
0010-4825,1879-0534,0010-4825,17957,CBM,Computers in Biology and Medicine,2718;1706,
1077-7229,1878-187X,1077-7229,12867,CBPRA,Cognitive and Behavioral Practice,3203,
1303-0701,2524-1699,1303-0701,21100903432,CBREV,Central Bank Review,2003;2002,
1665-1383,,,,CC,Ciencias Clínicas,,
0009-8981,1873-3492,0009-8981,29286,CCA,Clinica Chimica Acta,1303;1308;2704,
2451-9456,2451-9448,2451-9456,21100456838,CCBIO,Cell Chemical Biology,1303;1313;1312;3004;3002;1308,
2666-2450,2666-2450,,21101082068,CCCB,Cerebral Circulation - Cognition and Behavior,2808;2805;2728;2803;2802,"2728
"
1535-6108,1878-3686,1535-6108,29093,CCELL,Cancer Cell,2730;1306,
1001-8417,1878-5964,1001-8417,23448,CCLET,Chinese Chemical Letters,1600,
2772-3712,2772-3712,,,CCMP,Clinical Complementary Medicine and Pharmacology,,2707;3004;3005;3600;3603
0010-8545,1873-3840,0010-8545,23470,CCR,Coordination Chemistry Reviews,1606;1604;2505,
1441-2772,2652-9335,1441-2772,4100151514,CCRJ,Critical Care and Resuscitation,2711;2706;2703,
1877-9166,1877-9174,1877-9166,19700182329,CCS,"City, Culture and Society",3300;3322;2001,
2772-6568,2772-6568,,21101137848,CCST,Carbon Capture Science & Technology,1501;2301;2101,"1500
"
2405-8300,2405-8300,,21100464634,CDC,Chemical Data Collections,1600,
2667-2901,2667-2901,2667-291X,21101038578,CDEV,Cells & Development,1309,
2475-2991,2475-2991,,21100901909,CDNUT,Current Developments in Nutrition,2701;1106;2916,
2095-882X,,,21101043806,CDTM,Chronic Diseases and Translational Medicine,2700,
2773-1677,2773-1677,2773-1685,21101177658,CEC,Circular Economy,2105,
